item_name,item_description,id
me3600x ethernet access switch 24,network maintenance,7463
ca administrative hearing practice,oct 2013 update,7464
medical supplies,1 120 box precision strips100 bx 9987835 3186 3 82320 2 4 cs 12ml syringes118120777 10049 40196 3 4 cs 1inch transp surgtape 1647310 5292 21168 4 12 cs red surface wipesq89072 5975 71700,7465
co 105,co 105,7466
multiple medical services,contractor will provide cardiologydermatologyeentemg studies endocrinologygastroenterologygynecologyinfectious disease laparoscopynephrologyoncology hematologyoptometryorthopedics pain managementplastic surgerypsychiatrypulmonaryrheumatology urology and vascular surgical services for the residents of the vhc yountville,7467
formula 159 water chemical,formula 159 water treatment,7468
oracle training,oracle training,7469
hp essential backpack,hp essential backpack,7470
order #13ms0328se,batching miscellaneous food contract vendor invoices for payment,7471
scoring services,ets agrees to perform scoring and reporting services according to theged testing service and cdoe requirements for dshatascadero,7472
amendment 5,sewer line redesign,7473
handheld water velocity meter,handheld water velocity meter,7474
provide aed maintenancecprand first aid training,provide aed maintenancecprand first aid training,7475
pen precise v5 x fine,writing instruments,7476
fuel for equip 15r125,fuel for equip 15r125,7477
boost vhc,boost vhcvanilla27 8oz cs,7478
consummables,thermal transfer filmblack ink ribbonfor panaboardp n ug6001,7479
1087128 a05,amendment a05 201112 capitation rate funding,7480
belt buckles,belt buckles,7481
catalog casees,catalog cases,7482
toner cartridgehp42xblack,toner cartridgehp42xblack,7483
santa cruz district paving project 2013,furnish all labor materialstools and equipment necessary to asphalt repairasphaltslurry seal and add pavement markings at big basin redwoods state park rsp henry cowell rspnatural bridges state beachsb newbrighton sbsan gregorio sbsunset sbvenice sb and wilder ranchstate park within the santa cruz district,7484
tact pantdark navy34x30,tact pantdark navy34x30,7485
bread,bread for inmate camps,7486
expert witness,expert witness,7487
unleaded gasoline,unleaded gasoline for use on going fire,7488
sifworks directory manager upgrade assistance,sifworks directory manager upgrade assistancefree with purchase ofperpetual licenses ,7489
desktop800 g1usdt,desktop800 g1usdt,7490
ipds blue kit for hp laserjet 9050,ipds blue kit for hp laserjet 9050,7491
peace officer,law enforcement advisor for incident management team 6,7492
food stuff,food stuff for 2013 2014 school yearnon reimbursable funds,7493
medical pocket tray,medical pocket tray,7494
chicken chunk,chicken chunk,7495
cranberry juice,cranberry juice,7496
glasses safety clr,glasses safety clr,7497
property tagsbarcodedserialized,dca property tags,7498
sandisk cruzer glide 16gb usb flash drive,sandisk cruzer glide 16gb usb flash drive,7499
tee,malleable black iron class 300 11 2 tee,7500
osp job # 130397a,osp job # 130397a use of force cards 903 2011laminate and round corner only,7501
rfqr1atv061401,qty42014 honda trx500fm atvs,7502
adb protection group,adb protection group,7503
shipping box,shipping box,7504
symantec dlp for oracle,oracle standard edition one for symc dlp 125 xplat per cpu renewalterm 10 29 201410 28 2015,7505
binder,vinyl dring binder plain view11x853,7506
hp business backpack case,hp business backpack case,7507
diaphragm kit,diaphragm kit,7508
fuel for equip 02s094,fuel for equip 02s094,7509
sweatshirtswatch caps,x,7510
s1470018,scanning imaging shredding,7511
copier maintenance renewal for fy 16 17,mxm453n sn 35004264,7512
pump,pumppeerless w motor,7513
heatshield sunshades,34 heatshields for various vehiclesford fusionnissan leaddodgeramdodge grand caravantoyota priusdodge avengerchevrolet impala ,7514
diced bell peppers 45 lb cs54 cs,diced bell peppers 45 lb cs54 cs,7515
fuel for equip 07s608,fuel for equip 07s608,7516
sharpdesk 33 license kit5 users,sharpdesk 33 license kit5 users #mxusx5,7517
parts,eq parts,7518
clip ppr #3smth1m pk,clip ppr #3smth1m pk,7519
tomatoe,tomatoe,7520
yellow cartridge,yellow cartridge for laserjet cp4025 4525 85k,7521
siding replacement,siding replacement,7522
sa cap sheet,sa cap sheet certainteedsa base sheet certainteed,7523
tsr x2 hlst rh blackhawk,tsr x2 hlst rh blackhawk 22501 ,7524
software and maintenance,scribe software and maintenance,7525
end tab w c fastfldr,end tab w c fastfldr,7526
bronze medallion,6 years,7527
visiostd 2013 sngl mvlp select lic only,visio 2013,7528
landscaping service,provide landscaping services,7529
jantorial services,exercise contract option year 1 through 2 28 2014,7530
tejaskumar naikmda medical corporation,contractors services shall includebut are not limited toevaluation and managementconsultationshospital admissionscriticalcareand any interventional or diagnostic procedures pertinent toinfectious disease physician services,7531
medical supplies,1 50 pac 74644 gauze sponge 2 x 2 non sterile #21424 068 34002 60 pac 113181 gauze sponge non sterile 12 ply 4 x 4 294 176403 140 pac 113850 gauze sponge 3 x 3 non sterile 294 411604 60 ea 74840 wipes germicidal disp q08472 586 35160,7532
intime iselink scheduleing software annual sbscription,software,7533
lab supply,mtnd1f,7534
photo black ink cartridge,photo black ink cartridge,7535
sales tax,sales taxcalif gasoline taxfederal lust taxassy bill 32,7536
printing plates,printing plates,7537
clear diesel,fire readiness,7538
youth long sleeve rash guards 100 sm150 med200 lg,rashguards for the junior lifeguard program,7539
page flags,page flags,7540
wheel balance,wheel balance,7541
wall clock 25 yr award,wall clock 25 yr award,7542
documentation fee,documentation fee,7543
medical supplies,glovessplintsbracesband aidsetc,7544
storm water pumping plant services,contractor shall provide all labortoolsmaterialsequipment andincidentals to removerepairand as requestedreplace pumps and otherrelated equipment in pumping plants on an oncallas neededandemergency basis at various locations in district,7545
asphalt,asphalt emusion,7546
training class,training class,7547
live deliverd catfish,catfishdelivered,7548
board dry erase magnetic,board dry erase magnetic,7549
leatherman tool,leatherman tool,7550
glazing glass panel,36hx24w,7551
railyard extension,port of los angeles alameda corridor west terminus intermodal railyardwest basin railyard extension,7552
mk46 50 sabre refill,lesslethal,7553
lead hazard control,contractor agrees to provide lead hazard control to eligible housingunits it its assigned service areapursuant to the american recoveryand reinvestment act of 2009public law 1115 as funded by grantcalhb041108 from the us department of h,7554
pia forms,1 2 pac cdcr7429sp consent for dental tx 271 54202 2 pac cdcr7426sp consent for perio tx 264 52803 2 pac cdcr7425sp consent for extractions 271 5420,7555
kofax concurrent station,kofax concurrent stationsnsh21667term01 01 201312 31 13,7556
3 new michelin tire,3 new michelin tire,7557
carrotsdiced,50# cs,7558
wire management tray 38,wire management tray38colorblack,7559
peas and carrots 55 lb cs,peas and carrots 55 lb cs,7560
folderltr 11pt 1 3 ny,folderltr 11pt 1 3 ny,7561
ice and water filtration units,ice and water filtration units,7562
fuse,trr 40 amp,7563
contract,professional landscape service,7564
ricoh aficio mp c 3501 without hole punch includes,35 page per minute color multi function product fax unit scannit unitcolor and black and white 500 sheet finisher staplermulti positions with 5 000 staples included java enabled cabinet quantity 2550 each paper traysadditiona,7565
museum rail exhibits,museum rail exhibit cases,7566
printing paperblue20lb81 2 x 11,printing paperblue20lb81 2 x 11,7567
carribineer hook,snap on carribineeer hook,7568
signcab mounted arrowboard,signcab mounted arrowboard qty 75,7569
paperblue 20lb,85x11 blue paper equivalent to wausau 20 lb bristol,7570
sharpmx4141n didital color copier printer scanner,sharp mx4141n color copier printer scanner,7571
solenoid valve,solenoid valve,7572
fy 12 13 moving services to move 1 table to case records archives unit at aerjet,fy12 13 to move one1table from state warehouse in sacramento to caserecords archives unit at aerjet location in rancho cordovaca,7573
ink cartridge printer color,ink cartridge printer color,7574
compost,compost for mitchells ravine restoration project,7575
arbitration services,contractor will provide arbitration services during arbitration hearing,7576
brush or tool cleaners,housekeeping supplies,7577
vmware vsphere 5 ent 1p l4 vpp,10 27 201410 26 2015,7578
frozen eggs,frozen eggs,7579
trash bags,trash bags hand soap dusters,7580
towelwashcloth rental cleaning with laundry services for caltrans uniforms at,provide weekly scheduled pickups and deliveries of clean towels washclothsand laundry services for uniforms in los angelescountythis agreement is necessary for protection of caltransproperty and for the health and safety of caltrans employeestheservices contracted for rental of workplace supplies with cleaning and laundry services at five5 locations in los angeles county is not available within the civilservice systemcaltrans does not have the expertiseknowledge experienceand or availability of equipment to provide the requiredmaterials and services,7581
ecological biomarkers,book,7582
rechargeable shavers,rechargeable shavers,7583
portable radio tower,portable radio tower,7584
staples,universal standard staples,7585
soap bath size bar housing units only,soap bath size bar housing units only,7586
fuel for equip 04s285,fuel for equip 04s285,7587
fuel for equip 13r321,fuel for equip 13r321,7588
trash liners,trash liners,7589
label exhibit lgl yw,label exhibit lgl yw,7590
ink cartridge for infinity dm16k metering machine,ink cartridge for infinity dm16k metering machine,7591
sharp mx4111n copier,sharp mx4111n copier,7592
vehicle retirement program,licensed auto dismantlers will dismantle and crush cars purchasedthrough the vrpamendment 2,7593
ammunition,40 caliber handgun ammunition 40sw 180,7594
mathematicsalgebraic reasonings2465af14,mathematicsalgebraic reasonings2465af14,7595
osp 130263,osp 130263a blank continuous printer paper on behalf of public health,7596
federal lust taxdiesel,diesel federal lust tax,7597
1289343 a01,amendment a01 adds aid codes,7598
consultant,delcan,7599
chemical toilet rental and service,chemical toilet rental and service,7600
am 7project site dsanta ysabel chevron,am 7site investigationremediation designfor leaking petroleumunderground storage tankscalifornia state water resources controlboard cleanup fundvarious southern california locations project sitedsanta ysabel chevron30350,7601
hd tv,hd tv led samsung,7602
janitorial supply lot,disposable wipesfloor polish stripping cleaning padspaper towelsetc,7603
antenna,antenna,7604
wet dry vacuum,wet dry vaccum,7605
strapping tape dispenser,strapping tape dispenser,7606
amkusamk 30 crt 32 spreader w mono coupling and super swivels,amkusamk 30 crt 32 spreader w mono coupling and super swivels,7607
